leachate,sensor,r_raw,r_partial_moisture,n
TA (HCO₃),soil_ec_30cm,0.2460534888861298,0.3495338913607419,313
TA (HCO₃),soil_ec_60cm,0.4488259038042399,0.5623062306893808,347
TA (HCO₃),soil_ph_30cm,0.08061713116744605,0.06255518664026406,279
TA (HCO₃),soil_ph_60cm,0.1056195075250392,0.15451552698839843,328
EC (lab),soil_ec_30cm,0.3885923735520578,0.5493337006428703,319
EC (lab),soil_ec_60cm,0.7022103113288896,0.7732355920052779,355
EC (lab),soil_ph_30cm,0.26464089400760754,0.1911263430022471,284
EC (lab),soil_ph_60cm,0.11772371522977822,0.08510573872361146,335
EC (field),soil_ec_30cm,0.39044375697960754,0.5424885467629328,319
EC (field),soil_ec_60cm,0.7014050865119401,0.7729933320731475,355
EC (field),soil_ph_30cm,0.2595916530406023,0.1831641496036101,284
EC (field),soil_ph_60cm,0.11766704760925603,0.08370176988952745,335
Ca,soil_ec_30cm,0.37313936922491875,0.572979482267794,313
Ca,soil_ec_60cm,0.6875818855620734,0.7822936235039124,347
Ca,soil_ph_30cm,0.23259411948040978,0.16132472757227445,279
Ca,soil_ph_60cm,0.10968890454428801,0.08886735417932008,328
Mg,soil_ec_30cm,0.34763844061038823,0.5374843892751888,313
Mg,soil_ec_60cm,0.6953108137884478,0.7793342670576243,347
Mg,soil_ph_30cm,0.24809676569912675,0.1796174076595126,279
Mg,soil_ph_60cm,0.12448539535264098,0.10934953116915842,328
Σcations,soil_ec_30cm,0.3702339972307911,0.5489952847087717,313
Σcations,soil_ec_60cm,0.6938772273101826,0.7805278268440885,347
Σcations,soil_ph_30cm,0.24307623279586416,0.16777756556245185,279
Σcations,soil_ph_60cm,0.11502362138785371,0.10123337623172156,328
pH,soil_ec_30cm,-0.1350665780830678,-0.5075621458288158,299
pH,soil_ec_60cm,-0.29920420259922603,-0.42434506167284103,338
pH,soil_ph_30cm,-0.1747194430831341,-0.178120503777049,267
pH,soil_ph_60cm,0.06208500348934197,0.11199222783451579,319
Si,soil_ec_30cm,0.23493072143261642,0.5858006114855294,313
Si,soil_ec_60cm,0.2744502188134126,0.46106862710572466,347
Si,soil_ph_30cm,-0.06799022477126888,0.08813766225201676,279
Si,soil_ph_60cm,-0.031929452368051295,-0.05682718255555186,328
Na,soil_ec_30cm,0.31193468670956237,0.36755295944970207,313
Na,soil_ec_60cm,0.5824729759068895,0.6352583015923292,347
Na,soil_ph_30cm,0.2039933583482803,0.13347080229461156,279
Na,soil_ph_60cm,0.11313142021795007,0.13384518632288245,328
