response_key,response,treatment,effect_pct,ci_lo_pct,ci_hi_pct,p,method
conc,TA concentration (µmol/l),100,-3.1667649796986885,-10.34345379875451,4.5843923482148385,0.4127482543296045,mixedlm
conc,TA concentration (µmol/l),200,-4.5294283528786945,-11.59771346570726,3.104007916044149,0.2375730582643062,mixedlm
conc,TA concentration (µmol/l),400,-6.329274187962097,-13.266950233303698,1.163338516929402,0.09583946226436224,mixedlm
conc,TA concentration (µmol/l),FINE,5.661900530482256,-2.170836767962059,14.121769571236609,0.1610739704384564,mixedlm
pumped,TA export · vol. pumped,100,-3.68637001239408,-30.51391563491057,33.49889270850876,0.8216024242080447,mixedlm
pumped,TA export · vol. pumped,200,-1.8264173765600966,-29.134641817871408,36.00513103103151,0.911745271680785,mixedlm
pumped,TA export · vol. pumped,400,-13.296750609727182,-37.426064508986656,20.137136906012177,0.3912056554404305,mixedlm
pumped,TA export · vol. pumped,FINE,9.026584133576865,-21.33785916359142,51.11203332943288,0.6038331746635428,mixedlm
avgBD,TA export · vol. avgBD,100,-2.860685548605524,-15.261556961673662,11.3549656301694,0.67703470342993,mixedlm
avgBD,TA export · vol. avgBD,200,-0.5766084187643572,-13.202935340080547,13.886464159200408,0.9334919993560463,mixedlm
avgBD,TA export · vol. avgBD,400,-13.674247622270974,-24.658417200834627,-1.088678433451451,0.03420826488341263,mixedlm
avgBD,TA export · vol. avgBD,FINE,-2.0824650043339887,-14.596525422525197,12.265264464500781,0.7629229801707144,mixedlm
dumpmodel,TA export · vol. dumpmodel,100,2.99350437770336,-8.42971339748827,15.841746679747093,0.6228906733476298,mixedlm
dumpmodel,TA export · vol. dumpmodel,200,0.05987318745037662,-10.952179954239705,12.43372625117214,0.991972089598329,mixedlm
dumpmodel,TA export · vol. dumpmodel,400,-5.97762852898216,-16.352760692070078,5.684376557732973,0.3015065273684977,mixedlm
dumpmodel,TA export · vol. dumpmodel,FINE,0.7973025585988225,-10.402629993074086,13.397259342593792,0.8948689736780068,mixedlm
