variable,treatment,n_ctrl,n_treat,mean_ctrl,mean_treat,diff,pct_vs_ctrl,p_welch,p_mwu,p_welch_holm,signif_holm
Alkalinity (HCO₃⁻),100,4,4,3811.8,3540.0,-271.8,-7.1,0.2515058225273845,0.2,0.7293815778440158,n.s.
Alkalinity (HCO₃⁻),200,4,4,3811.8,3555.0,-256.8,-6.7,0.24312719261467192,0.34285714285714286,0.7293815778440158,n.s.
Alkalinity (HCO₃⁻),400,4,4,3811.8,3449.9,-361.9,-9.5,0.12887272455349896,0.11428571428571428,0.5154908982139959,n.s.
Alkalinity (HCO₃⁻),FINE,4,4,3811.8,4203.7,392.0,10.3,0.3636978705096507,0.5613632102341237,0.7293815778440158,n.s.
Ca,100,4,4,1443.0,1295.4,-147.6,-10.2,0.1270610230673991,0.34285714285714286,0.3766656512144686,n.s.
Ca,200,4,4,1443.0,1282.9,-160.1,-11.1,0.12555521707148953,0.2,0.3766656512144686,n.s.
Ca,400,4,4,1443.0,1237.2,-205.8,-14.3,0.05248468096207351,0.05714285714285714,0.20993872384829404,n.s.
Ca,FINE,4,4,1443.0,1438.9,-4.2,-0.3,0.977570230338521,0.6857142857142857,0.977570230338521,n.s.
Mg,100,4,4,363.4,331.2,-32.2,-8.9,0.1148591606170391,0.2,0.2297183212340782,n.s.
Mg,200,4,4,363.4,317.2,-46.3,-12.7,0.0372384906330052,0.029401048190339642,0.11171547189901561,n.s.
Mg,400,4,4,363.4,313.0,-50.4,-13.9,0.02422361239032972,0.029401048190339642,0.09689444956131887,n.s.
Mg,FINE,4,4,363.4,399.4,36.0,9.9,0.5026349345536173,1.0,0.5026349345536173,n.s.
Si,100,4,4,186.3,181.9,-4.5,-2.4,0.6759593204442521,0.8857142857142857,1.0,n.s.
Si,200,4,4,186.3,186.6,0.3,0.2,0.9860224182254407,1.0,1.0,n.s.
Si,400,4,4,186.3,172.4,-13.9,-7.5,0.2798520126917237,0.34285714285714286,1.0,n.s.
Si,FINE,4,4,186.3,176.8,-9.5,-5.1,0.45853388374682713,0.4857142857142857,1.0,n.s.
